step,event,throughput,memory_monolithic,memory_paged,memory_paged_compressed,fragmentation_monolithic,fragmentation_paged,fragmentation_paged_compressed
245,"{'op': 'alloc', 'id': 215, 'size': 13}",13,2239,4096,1872.0,0.0,0.0,0.34375
246,"{'op': 'alloc', 'id': 216, 'size': 2}",2,2241,4096,1904.0,0.0,0.0,0.3359375
247,"{'op': 'alloc', 'id': 217, 'size': 23}",23,2264,4096,1936.0,0.0,0.0,0.328125
248,"{'op': 'free', 'id': 195}",0,2244,4064,1904.0,0.0,0.0078125,0.3359375
249,"{'op': 'alloc', 'id': 218, 'size': 21}",21,2265,4096,1936.0,0.0,0.0,0.328125
250,"{'op': 'alloc', 'id': 219, 'size': 28}",28,2293,4096,1968.0,0.0,0.0,0.3203125
251,"{'op': 'free', 'id': 210}",0,2293,4096,1968.0,0.0,0.0,0.3203125
252,"{'op': 'alloc', 'id': 220, 'size': 14}",14,2307,4096,2000.0,0.0,0.0,0.3125
253,"{'op': 'free', 'id': 208}",0,2283,4096,1968.0,0.0,0.0,0.3203125
254,"{'op': 'alloc', 'id': 221, 'size': 14}",14,2297,4096,2000.0,0.0,0.0,0.3125
255,"{'op': 'free', 'id': 213}",0,2279,4096,1968.0,0.0,0.0,0.3203125
256,"{'op': 'alloc', 'id': 223, 'size': 5}",5,2284,4096,2000.0,0.0,0.0,0.3125
257,"{'op': 'alloc', 'id': 224, 'size': 26}",26,2310,4096,2032.0,0.0,0.0,0.3046875
